max_discharge_sum_r1,max_discharge_sum_r2_1,max_discharge_sum_r2_2,max_discharge_sum_r3,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty,dir_costs,lost_trips_costs_s_r,traffic_costs_s_r
585.669565238767,1626.36264642525,1917.91943036913,638.858438452201,8411.14072335884,31506.1127650791,22090.5451958914,15338.7366410812,1.02841513349435,1.14025010105827,0.763417230733856,6,33407655.48226,63906033.4899098,-13876077.4168133
577.557844856944,1643.05987903411,1887.65675885808,821.350989854304,8428.71430416987,31464.7691866035,21934.2046725163,17058.6323529764,1.02800758106115,0.908724253560892,1.13879447652311,5,26222060.0615684,55359791.4622065,9384497.19331214
772.575113329115,1672.01747743673,1803.84177057675,494.527298191453,9338.14094493538,31334.3938588391,21498.2139106288,13903.4051343938,1.0813708228231,0.949277890636864,1.05701314897184,3,25265321.947995,59332912.5098705,5139630.61437501
522.08326104196,1653.12222755832,3326.48939246464,460.208236848917,8055.62078014482,40539.3001189781,32937.7702588043,13073.4895179439,1.05197552452296,1.26446296235257,0.979333732529976,3,54860001.971843,94212106.1459794,2127730.91956441
614.144564182442,1644.18392081741,2485.55149917652,595.062725951978,8529.55757007189,34186.4828824829,28422.7979068425,14950.6838964506,0.786563575327879,0.703410120298497,1.23335085443791,4,39212152.9845599,76321454.1883622,21132083.3507243
813.288969981577,1669.05993426927,1877.52782495829,680.463375146601,9701.22409318131,31193.165234134,22297.8536927198,15652.7049647426,0.783138640329134,1.37934889197282,0.876307402585153,6,32258229.359179,76162964.5964274,-6506723.40556515
663.211125254356,1666.03520215039,2230.31980801811,671.192423464811,8806.25883662608,32504.6157048445,26343.6161642384,15618.2963883789,0.879738966809972,0.739705066856364,0.639231978994711,6,35019440.9994027,32830011.8404119,-17554044.8063246
501.752017071652,1726.17882980588,2023.48497691968,993.980348638192,8031.13224019483,32844.9610632333,22531.5047457038,18555.2298029331,0.639638044856823,0.353749170799964,1.19159316527548,5,28815518.5615643,71389907.8441242,17423834.0093881
581.130242831319,1669.3798314227,1976.99322361428,1105.22682839348,8297.43747126381,32213.1327450758,22180.5965111381,19413.0624340071,0.974251778027152,0.517780691388264,0.941533046925374,6,31828474.7793334,56818034.3104886,-2533088.90633422
622.458210630492,1636.29075441604,2176.79618948576,457.4693643236,8532.33755427785,32557.5835452516,24402.1573439432,13253.8382804258,0.860630505310977,1.25767677539565,1.15857031994632,4,45656687.8880303,61532735.1918419,14043780.7386414
