dir_costs,lost_trips_costs_s_r,traffic_costs_s_r,max_discharge_sum_r1,max_discharge_sum_r2_1,max_discharge_sum_r2_2,max_discharge_sum_r3,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty
23149362.5037428,22802019.140071,-10936400.7520662,471.205754987068,1579.54560830569,1820.79754727011,742.880108122183,7801.10881958413,30706.4598004068,21013.8452099495,16190.281753572,1.46105298246658,1.74583177623875,0.550708328296601,5
24870204.3947923,58414295.2498134,10582226.7416661,432.246667418111,1593.02103527919,1748.35104641384,812.338715646887,7650.40360211767,30798.2471346953,20585.7150622198,17110.7393086824,1.09545117534087,1.09731198918052,1.27211294546535,5
22727784.3337529,46155641.2592978,-17341449.664103,824.964111837949,1495.89885929014,1910.42106409247,383.411952266991,9829.87934531993,30839.5361426732,21292.4371993705,12123.4668614119,0.957270787639268,0.379874691739546,0.807062966898208,2
24122614.5816979,38154677.5634844,1399078.75450524,719.121623565779,1602.27669530173,1870.85086341546,442.908880375501,8858.63827536907,30840.0401910301,22248.108699512,12972.2380687993,0.34118133712517,1.51589627444498,1.0417972155814,5
24177124.844339,38389876.3210819,-1272875.90341628,454.641795136701,1641.47195552903,1687.90240916316,757.35319402341,7740.19087050762,30928.4691041206,19853.3550956799,16653.1445907421,1.3176469013235,0.377817855700115,0.937114732914946,6
21814137.1438995,38346815.4814505,17565708.2889884,540.220718523177,1657.62900438933,1666.98962598009,376.520304125933,8101.51750654029,30939.5634572326,19578.2196982183,12105.754438255,1.60125051152982,1.53080901104113,1.22409928227006,6
27479186.4351706,46529977.6110095,28541207.9710564,521.225722605366,1657.71978182935,1993.99313835171,376.535715253991,8026.469225829,30940.3599784007,24277.8253497082,12105.9262149439,0.256603543597423,0.672478510733548,1.4212100817398,6
27274416.0293665,47773631.5575754,49231864.5543882,521.225722605366,1657.71978182935,1993.99313835171,376.535715253991,8026.469225829,30940.3599784007,24277.8253497082,12105.9262149439,0.879804074325101,0.475716223495576,1.58096578709963,8
26351176.5075232,23107593.5912088,-3127864.24179612,521.225722605366,1657.71978182935,1993.99313835171,376.535715253991,8026.469225829,30940.3599784007,24277.8253497082,12105.9262149439,1.1368425821931,1.70974797828296,0.860036111934546,9
24083819.721074,23741944.5195623,-13412375.5433569,805.800171001648,1625.97485730324,1855.95482023756,441.10976377661,9343.5498057243,30946.5181763722,22147.8172542821,12786.3719952803,1.58672552513717,0.707162009064504,0.675680073708679,7
21685863.6595669,62841828.4396616,53236679.5705222,525.178783936029,1658.65979817436,1658.65979817436,376.518771942484,8042.07433621562,30948.7754549696,19495.7239764081,12105.8922779306,1.09687821004811,0.293201430310425,1.54785334597173,4
23267132.7744135,32942691.4546883,-15611010.3724452,887.896059519789,1656.98998324703,1701.77531741665,569.711602048121,9992.51019116398,30951.03088236,19938.7484522957,14692.8509858228,1.6333807403449,0.571362360925518,0.725240858893107,4
24014525.410768,119300585.399108,74569636.5503373,443.457856001048,1658.23681975222,1658.44236210941,924.207396030905,7704.2830229383,30959.1505629449,19494.5077339394,18060.9453332367,1.17057589144924,1.25465371270054,1.51094048416269,2
27679402.0871335,32548764.5418547,-8189241.23232859,429.943569174328,1494.7143289045,1776.21557840632,377.13191890013,7621.44060078193,30966.1607265506,20462.4847828125,12023.1871546293,0.784491288437536,0.724482360488177,0.810841841165349,7
22863899.7896317,34104627.2706839,-7786303.07585835,821.334538900162,1639.58243599593,1689.38840249689,531.143978097178,9739.56221549586,30972.5676294067,19828.8295443336,14287.5184001121,1.59645566191355,1.24522151427792,0.741548713365625,4
22283674.0115478,31776533.418298,26644241.2543287,491.668837440441,1584.38665889283,1662.89175844381,376.541162655611,7860.07892961148,30973.2837520574,19548.829558077,12027.6810750347,0.273035066803775,0.304512267518784,1.25657451111588,9
22310782.1251004,59795534.2318632,-7795755.69333869,777.699848731751,1649.53505153651,1662.08580418188,433.896215584299,9125.13531855168,30977.5097649028,19522.9880041856,12694.316430709,1.61375118521555,0.432593125130784,0.88841014585976,2
21885823.0067232,32604418.3579702,11789350.3537083,528.794112941184,1659.96616907293,1660.08568685503,376.518762425316,8056.79380671657,30980.9885682584,19504.5769075043,12106.0875048542,0.705170967328336,1.22465621939825,1.17737073616897,7
22190425.858506,47717629.2647943,7900313.64568685,540.971867343501,1658.57527798772,1662.6432614488,384.841589852687,8104.52729594265,30982.8303357639,19528.5421303112,12194.590375078,0.867193658813677,1.22131468299997,1.13480061856726,3
22594301.8555125,16950168.2145508,-11510071.3986154,764.961981222405,1629.59994934701,1661.83898563382,435.659322619363,9301.22320662532,30983.850307557,19515.1623170726,12962.950557299,0.95708682294042,1.08015964719636,0.620611844238796,9
24203632.7593212,123170965.57228,75861146.8413288,452.423840326529,1657.49559830935,1718.21944075518,1052.18641227947,7769.20129228872,30985.674029871,20183.4542923838,19009.9121706401,1.53363483113234,0.368645459597341,1.49227471811057,2
25017376.8522591,44579957.7975039,-31390209.3472334,545.104600913426,1653.64606069386,1710.95153780319,899.380103080684,8230.85528234579,30989.4298751739,20062.8915790338,17718.4323131413,0.855639410763085,0.290146249484512,0.635085855451242,3
24884954.2662579,29394834.6077332,-5851287.16360889,514.442681004198,1656.78929785,1853.6791665656,376.550389249481,7999.3837679585,30994.0700100114,22179.4729879438,12104.7532381308,1.24431309628957,1.24426952924197,0.844844695499973,4
24438206.6034321,76658796.2315551,19892555.8142045,556.351771493195,1659.24610226687,1661.07746035428,1166.24563402569,8345.15145478933,30994.2482760267,19519.8836018618,19808.9498346634,0.573180993319779,1.73484444919686,1.72091581862107,5
