dir_costs,lost_trips_costs_s_r,traffic_costs_s_r,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty
31216675.825951,61205509.9612433,6481821.66281875,8080.95837383391,32630.4569742227,24138.7160865361,16954.4596267187,1.4020649566245,1.57441148801425,1.10040430717713,4
24870204.3947923,58414295.2498134,10582226.7416661,7650.40360211767,30798.2471346953,20585.7150622198,17110.7393086824,1.09545117534087,1.09731198918052,1.27211294546535,5
80200277.0127147,379364282.727828,152747409.078567,8028.03593350295,48407.8500940121,37667.5022358634,13397.9236807706,0.889203724682747,0.43712076389726,1.46141734983804,2
40366122.5346764,53526935.6570878,-12505707.6103294,8370.54728999827,33809.7529251307,28660.0259239965,12709.2595922208,0.994317745256716,0.746094843380665,0.804387313434385,4
87790246.2951515,161311026.731295,52948758.8309618,8069.00449941959,50913.2442815841,40175.328281485,13896.7705551817,0.617975443047091,1.61289138564096,1.51391876058988,6
31397720.318824,52074908.9003722,-2913408.83909193,8174.01097292919,32653.0557639774,23925.4608390069,15937.4801120428,1.3690353318163,1.61431916684197,0.927789581275705,3
28471207.4892872,55962760.5933173,14853610.7097553,9397.60739097395,32043.9915516193,23402.8286935249,14989.8414643787,0.278630893194336,0.843758613322198,1.23628871978884,6
45570344.2715973,109390183.734466,71047222.1294604,8523.19439958688,36311.784453758,31417.6516903934,14582.5940794215,0.810991557117621,0.594434112122283,1.64136261540719,5
25341321.947995,66811714.8424894,46260222.4429369,9338.14094493538,31334.3938588391,21498.2139106288,13903.4051343938,1.08412494556904,0.466453516849498,1.61126334637793,6
40829237.9630833,87914619.7268185,11375626.6028723,8380.48337359633,34135.9862725287,28814.1029171846,12916.7011866203,1.52643267430713,1.01339880874172,1.04571183916994,2
34035605.0538817,69752087.3488373,23842799.425807,8091.2821010348,32154.4092259111,27231.3639479181,15648.466142947,1.68305988277655,1.38216201918069,1.55228353720376,7
22218805.0508522,50741590.7306917,20285355.030811,8011.90524560679,31210.7943804893,19766.8443377144,12109.7548511415,1.17194521685791,1.14052654572131,1.23305009007556,3
48546306.3207458,126147291.336664,28304698.6114499,8475.03321053437,33160.1003657794,26185.219965386,15834.1394441056,0.535247979849958,0.29462347146237,1.36365975518481,7
